,date,known variable,unknown / resultant variable / return if LONG,What to DO (Buy or Sell or HOLD),,
,Mar-8-2019,-0.96%,0.97%,,,
,Mar-11-2019,0.97%,1.69%,,,
,Mar-12-2019,1.69%,0.30%,,,
,Mar-13-2019,0.30%,0.24%,,,
,Mar-14-2019,0.24%,-0.23%,,,
,Mar-15-2019,-0.23%,0.48%,,,
,Mar-18-2019,0.48%,0.26%,,,
,Mar-19-2019,0.26%,-0.07%,,,
,Mar-20-2019,-0.07%,0.41%,,,
,Mar-21-2019,0.41%,1.87%,,,
,Mar-22-2019,1.87%,-1.80%,,,
,Mar-25-2019,-1.80%,0.17%,,,
,Mar-26-2019,0.17%,-0.30%,,,
,Mar-27-2019,-0.30%,-0.71%,,,
,Mar-28-2019,-0.71%,-0.01%,,,
,Mar-29-2019,-0.01%,0.08%,,,
,Apr-1-2019,0.08%,0.39%,,,
,Apr-2-2019,0.39%,0.29%,,,
,Apr-3-2019,0.29%,0.02%,,,
,Apr-4-2019,0.02%,-0.05%,,,
,Apr-5-2019,-0.05%,0.20%,,,
,Apr-8-2019,0.20%,0.42%,,,
,Apr-9-2019,0.42%,-0.01%,,,
,Apr-10-2019,-0.01%,0.40%,,,
,Apr-11-2019,0.40%,-0.38%,,,
,Apr-12-2019,-0.38%,-0.01%,,,
,Apr-15-2019,-0.01%,0.04%,,,
,Apr-16-2019,0.04%,0.02%,,,
,Apr-17-2019,0.02%,-0.32%,,,
,Apr-18-2019,-0.32%,-0.06%,,,
,Apr-22-2019,-0.06%,0.77%,,,
,Apr-23-2019,0.77%,1.02%,,,
,Apr-24-2019,1.02%,-0.39%,,,
